id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1252405121310355460,1252405121310355460,1587431624000,2020-04-20,22:13:44,-03,829346322159370240,vitoriex,B Y L,,"A escravidão na África
O tráfico negreiro
A resistência à escravidão
A campanha abolicionista e a abolição e a vida dos escravos pós-abolição...
Dá até vontade de estudar",[],[],[],0,0,0,[],[],https://twitter.com/vitoriex/status/1252405121310355460,False,,0,,,,,,,"[{'user_id': '829346322159370240', 'username': 'vitoriex'}]",,,,
1252363410542440451,1252361462619631616,1587421679000,2020-04-20,19:27:59,-03,1229855822886449152,estacaobrasilfm,Estação Brasil,,"Meu caro, eu bem queria ter acesso ao conteúdo integral da fala dele. Mas, eu fui pescando partes avulsas aqui no Twitter. As 3 partes editadas que ficaram mais famosas são: 1) sobre a etimologia do termo negro; 2) sobre a abolição; 3) a vida dos ex-escravos pós-abolição",['vngallier'],[],[],1,0,0,[],[],https://twitter.com/estacaobrasilfm/status/1252363410542440451,False,,0,,,,,,,"[{'user_id': '1229855822886449152', 'username': 'estacaobrasilfm'}, {'user_id': '2200033718', 'username': 'VnGallier'}]",,,,
1251979135762694144,1251979130306002945,1587330061000,2020-04-19,18:01:01,-03,61561130,gabrielaashanti,Gabriela Ashanti como Yaa Asantewaa,,"não sabem lidar com dinheiro por uma incapacidade inata, remonta ao racismo científico. Foi ele quem fundamentou a política migratória pós-abolicao e a negação de direitos e políticas públicas aos ex-escravizados e seus descendentes. É a isso que agora apela a torcida de Rafa +",[],[],[],1,2,17,[],[],https://twitter.com/gabrielaashanti/status/1251979135762694144,False,,0,,,,,,,"[{'user_id': '61561130', 'username': 'gabrielaashanti'}]",,,,
1251921634333806603,1251921630550425603,1587316351000,2020-04-19,14:12:31,-03,144327859,wescrey,Wescrey (de 🏠),,"Essas teses tiveram muito força no Brasil pós-abolição e início da República. Inclusive sendo motivação para produção de políticas públicas, como a migração europeia, que tinham objetivo de embranquecer a população brasileira. 

(+)",[],[],[],1,0,13,[],[],https://twitter.com/Wescrey/status/1251921634333806603,False,,0,,,,,,,"[{'user_id': '144327859', 'username': 'Wescrey'}]",,,,
1251523101252374528,1251492363140292610,1587221334000,2020-04-18,11:48:54,-03,1145933030315442177,_lixandre,Alexandre Dalla Pria,,Eu sou da opinião que temos que aprender a lidar c as contradições do Monteiro Lobato e de seu tempo. Em diversos momentos de sua obra ele foi racista e em outros muitos momentos teve uma mentalidade progressista e de denúncia da condição social dos negros pós-abolição.,"['linetave', 'giguidara']",[],[],1,0,2,[],[],https://twitter.com/_lixandre/status/1251523101252374528,False,,0,,,,,,,"[{'user_id': '1145933030315442177', 'username': '_lixandre'}, {'user_id': '1937893675', 'username': 'linetave'}, {'user_id': '1063438573502951424', 'username': 'giguidara'}]",,,,
1251410498161164288,1251403594500378631,1587194487000,2020-04-18,04:21:27,-03,1152624155994595328,jffersonluiz1,jeff,,"Se olharmos no período do pós-abolição, os censos demográficos, anuários, relatórios são transparentes em relação aos imigrantes (oriundos da Europa) ao contrário do tratamento dado a população (negra, parda, mestiça, cabocla etc).",[],[],[],1,0,1,[],[],https://twitter.com/JffersonLuiz1/status/1251410498161164288,False,,0,,,,,,,"[{'user_id': '1152624155994595328', 'username': 'JffersonLuiz1'}]",,,,
1250582500323319808,1250524564439908352,1586997077000,2020-04-15,21:31:17,-03,3338383097,simamonarquia,Diga Sim à Monarquia,,Dom Pedro II encomendou projetos de reforma agrária com André Rebouças e isso foi até expresso na última fala do Trono. Já a República não apresentou proposta alguma de inclusão dos libertos no imediato pós-Abolição.,['kelnsantos'],[],[],0,0,2,[],[],https://twitter.com/simamonarquia/status/1250582500323319808,False,,0,,,,,,,"[{'user_id': '3338383097', 'username': 'simamonarquia'}, {'user_id': '1042213808037683201', 'username': 'kelnsantos'}]",,,,
1250527534325927936,1250527534325927936,1586983972000,2020-04-15,17:52:52,-03,1909509666,peti_amanda,Petigatô,,"#MonarquiaJa 

Pedro II e o Barão de Mauá eram amigos e planejavam juntos o futuro dos escravos pós-abolição. A indenização dos ex-escravos só não foi possivel graças ao golpe da república em 1889.",[],[],[],0,2,7,['#monarquiaja'],[],https://twitter.com/Peti_Amanda/status/1250527534325927936,False,,0,,,,,,,"[{'user_id': '1909509666', 'username': 'Peti_Amanda'}]",,,,
1250483592008019968,1247935150400339969,1586973495000,2020-04-15,14:58:15,-03,17792840,frko_48,Pa 🎭🎭🎭,,"Interpretação de texto: Eu tô falando da Abolição. E do mercado de trabalho para os libertos pós-Abolição. Essa é a base para o racismo que vivemos hoje no Brasil (país que ""surgiu"" como colônia de um país de brancos) Eu não tô falando do continente africano.","['betocar54496161', 'alebeatle1960', 'davidmirandario', 'thelminha_assis', 'babusantana']",[],[],0,0,0,[],[],https://twitter.com/frko_48/status/1250483592008019968,False,,0,,,,,,,"[{'user_id': '17792840', 'username': 'frko_48'}, {'user_id': '1173020157649870850', 'username': 'BetoCar54496161'}, {'user_id': '385023197', 'username': 'alebeatle1960'}, {'user_id': '2479861125', 'username': 'davidmirandario'}, {'user_id': '1075041520338780160', 'username': 'thelminha_assis'}, {'user_id': '1218604919021887495', 'username': 'BabuSantana'}]",,,,
1250438365301768194,1250438362692911105,1586962712000,2020-04-15,11:58:32,-03,17292986,fbn,Biblioteca Nacional,,"São os cinco primeiros jornais da imprensa negra brasileira,  datados de 1833; 31 publicações abolicionistas editadas no entre 1871 e 1888, e dois jornais da imprensa negra pós-Abolição, lançados no século XIX. Quase tudo digitalizado aqui:  http://hemerotecadigital.bn.br/ ",[],['http://hemerotecadigital.bn.br/'],[],2,9,26,[],[],https://twitter.com/FBN/status/1250438365301768194,False,,0,,,,,,,"[{'user_id': '17292986', 'username': 'FBN'}]",,,,
