id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1291064682137214981,1291064682137214981,1596648781000,2020-08-05,14:33:01,-03,1248387098585051136,0jonjo,Jonjo - J. Gilberto Saraiva,,"Venho conversando c @ORetroprojetor sobre isso: as ciências humanas atentarem p a internet como campo de disputa política não apenas em hastags, redes sociais e portais de notícias, mas também embates sobre quem e como se interpreta o passado #historiadigital #Wikipedia #historia https://twitter.com/historianawiki/status/1291059184172244993 …",['oretroprojetor'],['https://twitter.com/historianawiki/status/1291059184172244993'],[],0,0,3,"['#historiadigital', '#wikipedia', '#historia']",[],https://twitter.com/0jonjo/status/1291064682137214981,False,https://twitter.com/historianawiki/status/1291059184172244993,0,,,,,,,"[{'user_id': '1248387098585051136', 'username': '0jonjo'}, {'user_id': '1246776159574142981', 'username': 'ORetroprojetor'}]",,,,
1291045047295774721,1291045047295774721,1596644100000,2020-08-05,13:15:00,-03,2381578122,samsung,Samsung Electronics,,"An improved #SPen, an immersive display, and best-in-class productivity features are among the many enhancements that make the #GalaxyTabS7 and S7+ Samsung’s most powerful tablets yet https://news.samsung.com/global/infographic-an-up-close-look-at-the-galaxy-tab-s7-s7plus?utm_source=nr_twitter&utm_medium=social …",[],['https://news.samsung.com/global/infographic-an-up-close-look-at-the-galaxy-tab-s7-s7plus?utm_source=nr_twitter&utm_medium=social'],[],8,23,371,"['#spen', '#galaxytabs7']",[],https://twitter.com/Samsung/status/1291045047295774721,False,,0,,,,,,,"[{'user_id': '2381578122', 'username': 'Samsung'}]",,,,
1290718767794749440,1258403250996498432,1596566309000,2020-08-04,15:38:29,-03,1248387098585051136,0jonjo,Jonjo - J. Gilberto Saraiva,,"Quero seguir esse caminho na trilha do #ensino de #historia e #historiadigital. Levo comigo o #linux e a cultura #opensource, um monte de ideias e aprendizados. Vamo que vamo até... já disse o mestre @gilbertogil: ""Até onde essa estrada do tempo vai dar!"" https://www.youtube.com/watch?v=1nOaAoa1bWA …",['gilbertogil'],['https://www.youtube.com/watch?v=1nOaAoa1bWA'],[],1,0,3,"['#ensino', '#historia', '#historiadigital', '#linux', '#opensource']",[],https://twitter.com/0jonjo/status/1290718767794749440,False,,0,,,,,,,"[{'user_id': '1248387098585051136', 'username': '0jonjo'}, {'user_id': '14907774', 'username': 'gilbertogil'}]",,,,
1290638713039593472,1290638703640096771,1596547222000,2020-08-04,10:20:22,-03,1248387098585051136,0jonjo,Jonjo - J. Gilberto Saraiva,,"Você conhece algum pesquisador, instituição ou grupo que trata de algum tema da #historiadigital em qualquer língua?

Add/#compartilhe/sugira perfis para a lista colaborativa!

A ideia é alcançarmos o máximo de interessados nas mais diversas línguas.

#humanidadesdigitais #dh",[],[],[],0,0,0,"['#historiadigital', '#compartilhe', '#humanidadesdigitais', '#dh']",[],https://twitter.com/0jonjo/status/1290638713039593472,False,,0,,,,,,,"[{'user_id': '1248387098585051136', 'username': '0jonjo'}]",,,,
1289987839929790466,1289987835143979008,1596392042000,2020-08-02,15:14:02,-03,1248387098585051136,0jonjo,Jonjo - J. Gilberto Saraiva,,"Aliás, creio que o pessoal do @historianawiki já deve ter feito um fio sobre esse capítulo, se ainda não, vale muito fazer. Tem capítulos muito interessantes neste livro sobre @Wikipedia e outras questões de #historiadigital e #humanidadesdigitais para quem quiser se aprofundar.","['historianawiki', 'wikipedia']",[],[],1,1,2,"['#historiadigital', '#humanidadesdigitais']",[],https://twitter.com/0jonjo/status/1289987839929790466,False,,0,,,,,,,"[{'user_id': '1248387098585051136', 'username': '0jonjo'}, {'user_id': '1250861593245736962', 'username': 'historianawiki'}, {'user_id': '86390214', 'username': 'Wikipedia'}]",,,,
1289347858550779905,1289343515692953602,1596239459000,2020-07-31,20:50:59,-03,1248387098585051136,0jonjo,Jonjo - J. Gilberto Saraiva,,"Una lista colaborativa sobre #historiadigital. 

Une liste collaborative sur #HistoireNumérique #HumanitesNumeriques
@BotHumDig @maishistoriapf @historiadigital @historianawiki @Cafehistoria @PublicaHistoria @HistoriaDigi @ADHOrg @storiadigitale @ihc_fcsh @UW_CHPDC @IHRDigHist","['bothumdig', 'maishistoriapf', 'historiadigital', 'historianawiki', 'cafehistoria', 'publicahistoria', 'historiadigi', 'adhorg', 'storiadigitale', 'ihc_fcsh', 'uw_chpdc', 'ihrdighist']",[],[],1,2,11,"['#historiadigital', '#histoirenumérique', '#humanitesnumeriques']",[],https://twitter.com/0jonjo/status/1289347858550779905,False,,0,,,,,,,"[{'user_id': '1248387098585051136', 'username': '0jonjo'}, {'user_id': '1260394816199888904', 'username': 'BotHumDig'}, {'user_id': '1177627494964486144', 'username': 'maishistoriapf'}, {'user_id': '108368331', 'username': 'historiadigital'}, {'user_id': '1250861593245736962', 'username': 'historianawiki'}, {'user_id': '25548535', 'username': 'Cafehistoria'}, {'user_id': '43744273', 'username': 'PublicaHistoria'}, {'user_id': '1105037034', 'username': 'HistoriaDigi'}, {'user_id': '1170404948', 'username': 'ADHOrg'}, {'user_id': '911883216', 'username': 'storiadigitale'}, {'user_id': '2832562473', 'username': 'ihc_fcsh'}, {'user_id': '744489884', 'username': 'UW_CHPDC'}, {'user_id': '303772119', 'username': 'IHRDigHist'}]",,,,
1289343515692953602,1289343515692953602,1596238423000,2020-07-31,20:33:43,-03,1248387098585051136,0jonjo,Jonjo - J. Gilberto Saraiva,,"A collaborative list on #digitalhistory. Refer more profiles!

Uma lista colaborativa sobre #historiadigital. Indique perfis!

Un elenco collaborativo su #storiadigitale! 

Eine kollaborative liste der #Geschichtedigital!

#digitalhumanities #history
 https://twitter.com/i/lists/1289330043689357312?s=20 …",[],['https://twitter.com/i/lists/1289330043689357312?s=20'],[],1,6,17,"['#digitalhistory', '#historiadigital', '#storiadigitale', '#geschichtedigital', '#digitalhumanities', '#history']",[],https://twitter.com/0jonjo/status/1289343515692953602,False,,0,,,,,,,"[{'user_id': '1248387098585051136', 'username': '0jonjo'}]",,,,
1288219084442800128,1288219084442800128,1595970338000,2020-07-28,18:05:38,-03,1157818171,spinozanepantla,Fernanda Spinoza,,"Recomendado el artículo ""Memoria e historia en redes sociales: nuevos soportes de resistencia al olvido de la Guerra Civil española y el Franquismo""  https://revistas.uptc.edu.co/index.php/historia_memoria/article/view/9659 … #memoria #historia #HumanidadesDigitales #HistoriaDigital",[],['https://revistas.uptc.edu.co/index.php/historia_memoria/article/view/9659'],[],0,3,2,"['#memoria', '#historia', '#humanidadesdigitales', '#historiadigital']",[],https://twitter.com/SpinozaNepantla/status/1288219084442800128,False,,0,,,,,,,"[{'user_id': '1157818171', 'username': 'SpinozaNepantla'}]",,,,
1285998423511044097,1285998423511044097,1595440891000,2020-07-22,15:01:31,-03,897422271190585345,mbroullon,Manuel Broullón,,"📲 ¡Hoy el proyecto @MnemosineP está de estreno! La nueva web muestra los primeros resultados sobre #HistoriaDigital de la #Edaddeplata, e incluye las últimas actualizaciones de colecciones digitales de #Literatura👇🏿. https://twitter.com/MnemosineP/status/1285884707130023936 …",['mnemosinep'],['https://twitter.com/MnemosineP/status/1285884707130023936'],[],0,5,6,"['#historiadigital', '#edaddeplata', '#literatura']",[],https://twitter.com/mbroullon/status/1285998423511044097,False,https://twitter.com/MnemosineP/status/1285884707130023936,0,,,,,,,"[{'user_id': '897422271190585345', 'username': 'mbroullon'}, {'user_id': '1206880986199404544', 'username': 'MnemosineP'}]",,,,
1285662859930800129,1285662859930800129,1595360886000,2020-07-21,16:48:06,-03,414496177,stefaniagallini,stefania gallini,,buena contribución a la #HistoriaDigital y la #cartografíaHistórica de América Latina. Materia para @LabCaHID y @ReHDi_Co. https://twitter.com/N_Sobrevilla/status/1285598661603450880 …,"['labcahid', 'rehdi_co']",['https://twitter.com/N_Sobrevilla/status/1285598661603450880'],[],0,2,10,"['#historiadigital', '#cartografíahistórica']",[],https://twitter.com/stefaniagallini/status/1285662859930800129,False,https://twitter.com/N_Sobrevilla/status/1285598661603450880,0,,,,,,,"[{'user_id': '414496177', 'username': 'stefaniagallini'}, {'user_id': '903262935618908160', 'username': 'LabCaHID'}, {'user_id': '751092352320667649', 'username': 'ReHDi_Co'}]",,,,
